name,stat,value,value_normalized
Bulbasaur,hp,45,"17,32"
Ivysaur,hp,60,"23,23"
Venusaur,hp,80,"31,1"
Charmander,hp,39,"14,96"
Charmeleon,hp,58,"22,44"
Charizard,hp,78,"30,31"
Squirtle,hp,44,"16,93"
Wartortle,hp,59,"22,83"
Blastoise,hp,79,"30,71"
Caterpie,hp,45,"17,32"
Metapod,hp,50,"19,29"
Butterfree,hp,60,"23,23"
Weedle,hp,40,"15,35"
Kakuna,hp,45,"17,32"
Beedrill,hp,65,"25,2"
Pidgey,hp,40,"15,35"
Pidgeotto,hp,63,"24,41"
Pidgeot,hp,83,"32,28"
Rattata,hp,30,"11,42"
Raticate,hp,75,"29,13"
Spearow,hp,40,"15,35"
Fearow,hp,65,"25,2"
Ekans,hp,35,"13,39"
Arbok,hp,60,"23,23"
Pikachu,hp,35,"13,39"
Raichu,hp,60,"23,23"
Sandshrew,hp,50,"19,29"
Sandslash,hp,75,"29,13"
Nidoran♀,hp,55,"21,26"
Nidorina,hp,70,"27,17"
Nidoqueen,hp,90,"35,04"
Nidoran♂,hp,46,"17,72"
Nidorino,hp,61,"23,62"
Nidoking,hp,81,"31,5"
Clefairy,hp,70,"27,17"
Clefable,hp,95,"37,01"
Vulpix,hp,38,"14,57"
Ninetales,hp,73,"28,35"
Jigglypuff,hp,115,"44,88"
Wigglytuff,hp,140,"54,72"
Zubat,hp,40,"15,35"
Golbat,hp,75,"29,13"
Oddish,hp,45,"17,32"
Gloom,hp,60,"23,23"
Vileplume,hp,75,"29,13"
Paras,hp,35,"13,39"
Parasect,hp,60,"23,23"
Venonat,hp,60,"23,23"
Venomoth,hp,70,"27,17"
Diglett,hp,10,"3,54"
Dugtrio,hp,35,"13,39"
Meowth,hp,40,"15,35"
Persian,hp,65,"25,2"
Psyduck,hp,50,"19,29"
Golduck,hp,80,"31,1"
Mankey,hp,40,"15,35"
Primeape,hp,65,"25,2"
Growlithe,hp,55,"21,26"
Arcanine,hp,90,"35,04"
Poliwag,hp,40,"15,35"
Poliwhirl,hp,65,"25,2"
Poliwrath,hp,90,"35,04"
Abra,hp,25,"9,45"
Kadabra,hp,40,"15,35"
Alakazam,hp,55,"21,26"
Machop,hp,70,"27,17"
Machoke,hp,80,"31,1"
Machamp,hp,90,"35,04"
Bellsprout,hp,50,"19,29"
Weepinbell,hp,65,"25,2"
Victreebel,hp,80,"31,1"
Tentacool,hp,40,"15,35"
